Airport,Latitude,Longitude,Country
ILN,39.4279,-83.7921,USA
ILO,10.8315,122.545,PHILIPPINES
ILQ,-17.695,-71.344,PERU
IMF,24.7644,93.897,INDIA
IMP,-5.5317,-47.46,BRAZIL
INC,38.3226,106.3886,CHINA
IND,39.7169,-86.294,USA
INI,43.3376,21.87,SERBIA
INN,47.2576,11.344,AUSTRIA
INT,36.1374,-80.222,USA
INU,-0.5446,166.92,NAURU
INV,57.5433,-4.05,UK
IOA,39.6925,20.822,GREECE
IOS,-14.8145,-39.033,BRAZIL
IPC,-27.1587,-109.422,CHILE
IPL,32.8352,-115.579,USA
IPT,41.2452,-76.921,USA
IQM,38.2336,85.4656,CHINA
IQN,35.7997,107.603,CHINA
IQQ,-20.5364,-70.181,CHILE
IQT,-3.7848,-73.309,PERU
IRJ,-29.3839,-66.796,ARGENTINA
ISA,-20.6685,139.489,AUSTRALIA
ISB,33.6072,73.099,PAKISTAN
ISE,37.8588,30.37,TURKEY
ISG,24.3958,124.187,JAPAN
ISL,40.983,28.81,TURKEY
ISM,28.2898,-81.4371,USA
ISO,35.3314,-77.6088,USA
ISP,40.7956,-73.1,USA
IST,41.2599,28.821,TURKEY
ISU,35.5598,45.33,IRAQ
ITM,34.78,135.438,JAPAN
ITO,19.7188,-155.049,USA
IUE,-19.079,-169.9256,NIUE
IVC,-46.4153,168.313,NEW ZEALAND
IVL,68.6087,27.405,FINLAND
IWJ,34.6764,131.79,JAPAN
IWK,34.1439,132.236,JAPAN
IWS,29.8182,-95.6726,USA
IXA,23.8927,91.241,INDIA
IXB,26.685,88.328,INDIA
IXC,30.6668,76.788,INDIA
IXD,25.4302,81.734,INDIA
IXE,12.9537,74.893,INDIA
IXG,15.8611,74.618,INDIA
IXJ,32.6809,74.838,INDIA
IXL,34.1425,77.546,INDIA
IXM,9.8382,78.093,INDIA
IXR,23.3172,85.321,INDIA
IXS,24.9163,92.979,INDIA
IXU,19.8674,75.398,INDIA
IXZ,11.6503,92.733,INDIA
IZO,35.4136,132.89,JAPAN
JAC,43.6073,-110.738,USA
JAE,-5.5925,-78.774,PERU
JAI,26.8289,75.81,INDIA
JAN,32.3122,-90.076,USA
JAU,-11.7831,-75.4734,PERU
JAX,30.4941,-81.688,USA
JBB,-8.2433,113.6958,INDONESIA
JDH,26.2511,73.0489,INDIA
JDZ,29.3386,117.176,CHINA
JED,21.6677,39.156,SAUDI ARABIA
JER,49.2075,-2.195,UK
JFK,40.6413,-73.779,USA
JGA,22.4607,70.011,INDIA
JGD,50.3714,124.1175,CHINA
JGN,39.8569,98.3414,CHINA
JGS,26.8569,114.737,CHINA
JHB,1.6393,103.669,MALAYSIA
JHG,21.9739,100.76,CHINA
JHM,20.9622,-156.674,USA
JIB,11.5534,43.15,DJIBOUTI
JIC,38.5422,102.3483,CHINA
JIJ,9.3325,42.9121,ETHIOPIA
JIM,7.6656,36.816,ETHIOPIA
JIQ,29.5133,108.8311,CHINA
JJG,-28.6753,-49.0596,BRAZIL
JJN,24.7964,118.59,CHINA
JLR,23.1783,80.052,INDIA
JMJ,22.4158,99.7864,CHINA
JMK,37.4343,25.348,GREECE
JMU,46.8434,130.465,CHINA
JNB,-26.1367,28.246,SOUTH AFRICA
JNG,35.2928,116.3467,CHINA
JNU,58.358,-134.576,USA
JNZ,41.1014,121.062,CHINA
