Airport,Latitude,Longitude,Country
NLA,-12.998,28.665,ZAMBIA
NLD,27.444,-99.57,MEXICO
NLH,27.5403,100.7593,CHINA
NLK,-29.041,167.939,AUSTRALIA
NLT,43.4318,83.3786,CHINA
NLU,19.7555,-99.0164,MEXICO
NMA,40.9846,71.5567,UZBEKISTAN
NNG,22.608,108.172,CHINA
NNY,32.9808,112.615,CHINA
NOP,42.0199,35.0824,TURKEY
NOS,-13.312,48.314,MADAGASCAR
NOT,38.1436,-122.556,USA
NOU,-22.014,166.213,NEW CALEDONIA
NOV,-12.809,15.76,ANGOLA
NOZ,53.8114,86.8772,RUSSIA
NPA,30.353,-87.319,USA
NPE,-39.4658,176.87,NEW ZEALAND
NPL,-39.009,174.179,NEW ZEALAND
NQN,-38.949,-68.156,ARGENTINA
NQX,24.576,-81.689,USA
NQY,50.441,-4.995,UK
NQZ,51.0281,71.4633,KAZAKHSTAN
NRT,35.765,140.386,JAPAN
NSI,3.71,11.55,CAMEROON
NSN,-41.298,173.221,NEW ZEALAND
NTD,34.12,-119.121,USA
NTE,47.153,-1.611,FRANCE
NTG,32.0708,120.9756,CHINA
NTL,-32.795,151.834,AUSTRALIA
NTQ,37.2931,136.962,JAPAN
NUE,49.499,11.078,GERMANY
NUM,27.9173,35.292,SAUDI ARABIA
NUW,48.352,-122.656,USA
NUX,66.0694,76.5203,RUSSIA
NVA,2.95,-75.294,COLOMBIA
NVI,40.1222,65.17,UZBEKISTAN
NVT,-26.88,-48.651,BRAZIL
NWI,52.676,1.283,UK
NYT,19.6235,96.201,BURMA
NZH,49.5667,117.33,CHINA
NZL,47.8658,122.7675,CHINA
OAJ,34.8292,-77.6121,USA
OAK,37.721,-122.221,USA
OBO,42.733,143.217,JAPAN
OCF,29.1726,-82.2242,USA
OCM,-22.54,117.275,AUSTRALIA
ODS,46.427,30.678,RUSSIA
OER,63.408,18.99,SWEDEN
OFF,41.118,-95.913,USA
OGD,41.1959,-112.012,USA
OGG,20.899,-156.431,USA
OGU,40.97,38.08,TURKEY
OGZ,43.2051,44.6066,RUSSIA
OHA,-40.206,175.388,NEW ZEALAND
OHD,41.18,20.742,FORMER MACEDONIA
OHE,52.9128,122.43,CHINA
OHS,24.386,56.6254,OMAN
OIT,33.479,131.737,JAPAN
OKA,26.196,127.646,JAPAN
OKC,35.393,-97.601,USA
OKD,43.1174,141.3813,JAPAN
OKI,36.181,133.325,JAPAN
OKJ,34.757,133.856,JAPAN
OKO,35.748,139.348,JAPAN
OLB,40.899,9.518,ITALY
OMA,41.302,-95.894,USA
OME,64.512,-165.445,USA
OMO,43.283,17.846,BOSNIA-HERCEGOVINA
OMS,54.967,73.31,RUSSIA
ONJ,40.1919,140.371,JAPAN
ONQ,41.51,32.09,TURKEY
ONT,34.056,-117.601,USA
OOL,-28.164,153.505,AUSTRALIA
OPO,41.248,-8.681,ACORES
ORD,41.979,-87.904,USA
ORF,36.894,-76.201,USA
ORK,51.843,-8.492,IRELAND
ORL,28.545,-81.333,USA
ORN,35.624,-0.621,ALGERIA
ORY,48.725,2.359,FRANCE
OSD,63.194,14.502,SWEDEN
OSH,43.9844,-88.557,USA
OSI,45.463,18.811,CROATIA
OSL,60.194,11.1,NORWAY
OSN,37.091,127.029,KOREA
OSR,49.696,18.111,CZECH REPUBLIC
OSS,40.609,72.793,RUSSIA
OST,51.199,2.862,BELGIUM
OSU,40.0798,-83.073,USA
OSW,51.0725,58.5956,RUSSIA
OTP,44.574,26.103,ROMANIA
OTZ,66.884,-162.598,USA
OUA,12.353,-1.512,BURKINA FASO
OUD,34.787,-1.924,MOROCCO
OUL,64.93,25.354,FINLAND
OUN,35.241,-97.4681,USA
OVB,55.01,82.65,RUSSIA
OVD,43.563,-6.034,SPAIN
OXB,11.8948,-15.6537,GUINEA-BISSAU
OZC,8.1785,123.842,PHILIPPINES
OZH,47.87,35.3,UKRAINE
OZP,37.175,-5.616,SPAIN
PAD,51.614,8.616,GERMANY
PAE,47.906,-122.281,USA
PAG,7.8307,123.4612,PHILIPPINES
PAM,30.07,-85.576,USA
PAP,18.58,-72.293,HAITI
PAS,37.0205,25.1132,GREECE
PAT,25.591,85.088,INDIA
PBI,26.683,-80.096,USA
PBM,5.453,-55.188,SURINAM
PCL,-8.378,-74.574,PERU
PDG,-0.876,100.352,INDONESIA
PDL,37.741,-25.698,ACORES
PDP,-34.914,-54.921,URUGUAY
PDX,45.589,-122.597,USA
PEE,57.917,56.026,RUSSIA
PEG,43.096,12.513,ITALY
PEI,4.813,-75.739,COLOMBIA
PEK,40.08,116.584,CHINA
PEM,-12.614,-69.229,PERU
PEN,5.297,100.277,MALAYSIA
PER,-31.94,115.967,AUSTRALIA
PES,61.8852,34.1547,RUSSIA
PEW,33.994,71.514,PAKISTAN
PEZ,53.112333,45.01575,RUSSIA
PFO,34.718,32.486,CYPRUS
PGF,42.74,2.871,FRANCE
PGK,-2.163,106.139,INDONESIA
PGU,27.3796,52.7377,IRAN
PHC,5.015,6.949,NIGERIA
PHE,-20.378,118.626,AUSTRALIA
PHF,37.132,-76.493,USA
PHL,39.872,-75.241,USA
PHX,33.434,-112.008,USA
PIB,31.4671,-89.3371,USA
PIE,27.911,-82.687,USA
PIH,42.9098,-112.596,USA
PIK,55.508,-4.587,UK
PIO,-13.745,-76.22,PERU
PIT,40.491,-80.233,USA
PIU,-5.206,-80.616,PERU
PKC,53.166,158.453,RUSSIA
PKN,-2.705,111.673,INDONESIA
PKU,0.461,101.444,INDONESIA
PKX,39.5099,116.4109,CHINA
PKY,-2.225,113.943,INDONESIA
PLM,-2.898,104.701,INDONESIA
PLQ,55.9732,21.0939,LITHUANIA
PLS,21.774,-72.266,TURKS & CAICOS I.
PLW,-0.918,119.909,INDONESIA
PLX,50.351,80.234,RUSSIA
PMC,-41.439,-73.094,CHILE
PMI,39.55,2.733,SPAIN
PMO,38.176,13.091,ITALY
PMR,-40.321,175.617,NEW ZEALAND
PMV,10.912,-63.966,VENEZUELA
PMW,-10.2915,-48.357,BRAZIL
PNA,42.77,-1.646,SPAIN
PNH,11.546,104.844,CAMBODIA
PNI,6.985,158.209,MICRONESIA
PNK,-0.151,109.404,INDONESIA
PNL,36.816,11.969,ITALY
PNQ,18.582,73.919,INDIA
PNR,-4.813,11.886,CONGO
PNS,30.473,-87.187,USA
PNT,-51.6715,-72.5284,CHILE
POA,-29.994,-51.171,BRAZIL
POB,35.171,-79.014,USA
POC,34.0916,-117.782,USA
POL,-12.987,40.522,MOZAMBIQUE
POM,-9.443,147.22,PAPUA NEW GUINEA
POP,19.757,-70.57,DOMINICAN REPUBLIC
POS,10.595,-61.337,TRINIDAD & TOBAGO
POZ,52.421,16.826,POLAND
PPG,-14.331,-170.71,SAMOA
PPP,-20.495,148.552,AUSTRALIA
PPS,9.742,118.759,PHILIPPINES
PPT,-17.56,-149.61,FRENCH POLYNESIA
PQC,10.1698,103.9931,VIETNAM
PQQ,-31.4358,152.863,AUSTRALIA
PRA,-31.795,-60.48,ARGENTINA
PRG,50.101,14.26,CZECH REPUBLIC
PRM,37.1493,-8.584,PORTUGAL
PRN,42.573,21.036,YUGOSLAVIA
PSA,43.684,10.393,ITALY
PSC,46.2647,-119.119,USA
PSG,56.8017,-132.945,USA
PSM,43.0779,-70.8233,USA
PSO,1.396,-77.291,COLOMBIA
PSP,33.829,-116.507,USA
PSR,42.431,14.181,ITALY
PSS,-27.386,-55.971,ARGENTINA
PSU,0.8356,112.937,INDONESIA
PTF,-17.7779,177.197,FIJI
PTK,42.6655,-83.4201,USA
PTP,16.265,-61.532,ANTILLES
PTT,37.7016,-98.7469,USA
PTY,9.071,-79.383,PANAMA
PUB,38.289,-104.496,USA
PUF,43.38,-0.419,FRANCE
PUJ,18.567,-68.363,DOMINICAN REPUBLIC
PUQ,-52.3326,-71.4029,CHILE
PUS,35.179,128.938,KOREA
PUW,46.7439,-117.11,USA
PUY,44.893,13.922,CROATIA
PVD,41.724,-71.428,USA
PVG,31.14,121.81,CHINA
PVH,-8.709,-63.902,BRAZIL
PVK,38.925,20.765,GREECE
PVR,20.68,-105.254,MEXICO
PVS,64.38,-173.247,RUSSIA
PVU,40.2192,-111.723,USA
PWK,42.1142,-87.9015,USA
PWM,43.646,-70.309,USA
PWQ,52.195,77.0739,KAZAKHSTAN
PXO,33.073,-16.35,MADEIRA
PXU,14.0045,108.017,VIETNAM
PYJ,66.4004,112.03,RUSSIA
PZI,26.54,101.7985,CHINA
PZO,8.288,-62.76,VENEZUELA
QEF,49.96,8.6458,GERMANY
QPG,1.36,103.909,SINGAPORE
QQH,55.75,-60.5833,CANADA
QQI,46.3275,-119.9706,USA
QRO,20.624,-100.369,MEXICO
QSF,36.1781,5.3245,ALGERIA
QSZ,39.4677,75.9938,CHINA
RAE,30.907,41.138,SAUDI ARABIA
RAH,29.626,43.491,SAUDI ARABIA
RAI,14.924,-23.493,CAPE VERDE ISLANDS
RAJ,22.309,70.779,INDIA
RAK,31.607,-8.036,MOROCCO
RAO,-21.134,-47.774,BRAZIL
RAP,44.0384,-103.0605,USA
RAQ,-4.7606,122.5694,INDONESIA
RAR,-21.203,-159.806,COOK ISLANDS
RBA,34.051,-6.751,MOROCCO
RBR,-9.869,-67.894,BRAZIL
RCA,44.145,-103.103,USA
RCH,11.526,-72.926,COLOMBIA
RDB,68.0321,-162.899,USA
RDM,44.2541,-121.15,USA
RDP,23.6225,87.243,INDIA
RDU,35.877,-78.787,USA
REC,-8.126,-34.923,BRAZIL
REG,38.071,15.651,ITALY
REL,-43.21,-65.27,ARGENTINA
REN,51.796,55.457,RUSSIA
REP,13.411,103.813,CAMBODIA
RES,-27.45,-59.056,ARGENTINA
REU,41.147,1.167,SPAIN
RFD,42.1954,-89.0972,USA
RGA,-53.777,-67.749,ARGENTINA
RGK,51.9667,85.8333,RUSSIA
RGL,-51.609,-69.313,ARGENTINA
RGN,16.907,96.133,MYANMAR
RHO,36.405,28.086,GREECE
RIC,37.505,-77.319,USA
RIS,45.242,141.186,JAPAN
RIV,33.881,-117.259,USA
RIX,56.92,23.97,RUSSIA
RIZ,35.405,119.3244,CHINA
RJA,17.109,81.818,INDIA
RJH,24.437,88.616,BANGLADESH
RJK,45.217,14.57,CROATIA
RKH,34.9878,-81.0572,USA
RKT,25.613,55.939,UAE
RKV,64.13,-21.941,ICELAND
RKZ,29.3519,89.3114,CHINA
RLG,53.918,12.279,GERMANY
RLK,40.926,107.7428,CHINA
RME,43.234,-75.407,USA
RMF,25.5571,34.5837,EGYPT
RMI,44.02,12.612,ITALY
RMQ,24.2647,120.621,TAIWAN
RMS,49.438,7.601,GERMANY
RMU,37.803,-1.125,SPAIN
RNB,56.267,15.265,SWEDEN
RNO,39.498,-119.768,USA
RNS,48.069,-1.735,FRANCE
RNT,47.4931,-122.216,USA
ROA,37.3255,-79.9754,USA
ROB,6.234,-10.362,LIBERIA
ROC,43.119,-77.672,USA
ROK,-23.382,150.475,AUSTRALIA
ROR,7.367,134.544,PALAU ISLAND
ROS,-32.903,-60.784,ARGENTINA
ROT,-38.109,176.317,NEW ZEALAND
ROV,47.258,39.818,RUSSIA
ROW,33.301,-104.531,USA
RPR,21.18,81.739,INDIA
RST,43.9083,-92.5,USA
RSU,34.84,127.615,KOREA
RSW,26.536,-81.755,USA
RTB,16.317,-86.522,HONDURAS
RTM,51.957,4.442,NETHERLANDS
RTW,51.565,46.0467,RUSSIA
RUD,36.4253,55.1042,IRAN
RUH,24.957,46.699,SAUDI ARABIA
RUN,-20.887,55.51,REUNION ISLAND
RVN,66.565,25.83,FINLAND
RXS,11.5977,122.752,PHILIPPINES
SAC,38.513,-121.493,USA
SAG,19.6886,74.3789,INDIA
SAL,13.441,-89.056,EL SALVADOR
SAN,32.733,-117.189,USA
SAP,15.452,-87.923,HONDURAS
SAT,29.534,-98.47,USA
SAV,32.127,-81.202,USA
SAW,40.91,29.32,TURKEY
SBA,34.4262,-119.84,USA
SBD,34.0954,-117.235,USA
SBN,41.7087,-86.3173,USA
SBP,35.2368,-120.642,USA
SBT,71.2192,72.0522,RUSSIA
SBW,2.264,111.983,MALAYSIA
SBZ,45.786,24.091,ROMANIA
SCC,70.195,-148.465,USA
SCE,40.8493,-77.8487,USA
SCL,-33.393,-70.786,CHILE
SCN,49.214,7.109,GERMANY
SCO,43.8601,51.092,KAZAKHSTAN
SCQ,42.896,-8.415,SPAIN
SCR,61.1567,12.8373,SWEDEN
SCU,19.97,-75.836,CUBA
SCW,61.648,50.846,RUSSIA
SCY,-0.9102,-89.6174,ECUADOR
SDD,-14.9247,13.575,ANGOLA
SDE,-27.766,-64.31,ARGENTINA
SDF,38.1744,-85.736,USA
SDJ,38.139,140.917,JAPAN
SDK,5.9,118.06,MALAYSIA
SDL,62.528,17.444,SWEDEN
SDQ,18.429,-69.669,DOMINICAN REPUBLIC
SDR,43.427,-3.82,SPAIN
SDU,-22.91,-43.163,BRAZIL
SEA,47.449,-122.309,USA
SEE,32.8262,-116.972,USA
SEN,51.571,0.696,UK
SEZ,-4.674,55.522,SEYCHELLES
SFA,34.718,10.691,TUNISIA
SFB,28.7776,-81.2375,USA
SFJ,67.017,-50.689,GREENLAND
SFN,-31.712,-60.812,ARGENTINA
SFO,37.619,-122.375,USA
SFS,14.7944,120.271,PHILIPPINES
SFT,64.625,21.077,SWEDEN
SGC,61.25,73.5,RUSSIA
SGF,37.2457,-93.3886,USA
SGN,10.82,106.662,VIET NAM
SGR,29.6223,-95.6565,USA
SHA,31.198,121.336,CHINA
SHB,43.577,144.96,JAPAN
SHC,14.399,38.1979,ETHIOPIA
SHE,41.6398,123.483,CHINA
SHF,44.2449,85.8959,CHINA
SHI,24.827,125.145,JAPAN
SHJ,25.328,55.517,UAE
SHL,25.7036,91.9787,INDIA
SHM,33.662,135.364,JAPAN
SHV,32.446,-93.826,USA
SHW,17.467,47.121,SAUDI ARABIA
SID,16.741,-22.949,CAPE VERDE ISLANDS
SIN,1.356,103.987,SINGAPORE
SIP,45.039,33.983,RUSSIA
SIT,57.047,-135.361,USA
SJC,37.362,-121.929,USA
SJD,23.152,-109.721,MEXICO
SJJ,43.824,18.331,BOSNIA-HERCEGOVINA
SJK,-23.229,-45.861,BRAZIL
SJO,9.994,-84.209,COSTA RICA
SJP,-20.816,-49.406,BRAZIL
SJU,18.439,-66.002,PUERTO RICO
SJW,38.2807,114.697,CHINA
SKB,17.311,-62.719,ST. KITTS & NEVIS
SKD,39.701,66.985,RUSSIA
SKF,29.384,-98.581,USA
SKG,40.52,22.971,GREECE
SKP,41.961,21.621,FORMER MACEDONIA
SKT,32.5356,74.3639,PAKISTAN
SKU,38.968,24.487,GREECE
SKX,54.1251,45.2123,RUSSIA
SLA,-24.856,-65.486,ARGENTINA
SLC,40.788,-111.978,USA
SLJ,-22.2554,117.7627,AUSTRALIA
SLL,17.039,54.091,OMAN
SLM,40.952,-5.502,SPAIN
SLN,38.791,-97.6522,USA
SLY,66.5908,66.611,RUSSIA
SLZ,-2.589,-44.236,BRAZIL
SMA,36.971,-25.171,ACORES
SMF,38.695,-121.591,USA
SMI,37.69,26.912,GREECE
SMO,34.0158,-118.451,USA
SMR,11.119,-74.231,COLOMBIA
SMV,46.532,9.883,SWITZERLAND
SNA,33.676,-117.868,USA
SNN,52.702,-8.925,IRELAND
SNU,22.492,-79.944,CUBA
SOC,-7.516,110.757,INDONESIA
SOF,42.695,23.406,BULGARIA
SOQ,-0.926,131.12,INDONESIA
SPC,28.626,-17.756,SPAIN
SPD,25.759,88.909,BANGLADESH
SPK,42.794,141.666,JAPAN
SPN,15.119,145.729,MARIANA ISLANDS
SPS,33.989,-98.492,USA
SPU,43.539,16.298,CROATIA
SQD,28.3797,117.9643,CHINA
SQG,0.0636,111.473,INDONESIA
SQJ,26.4263,117.8336,CHINA
SRG,-6.973,110.375,INDONESIA
SRQ,27.3954,-82.5544,USA
SSA,-12.911,-38.331,BRAZIL
SSC,33.973,-80.473,USA
SSG,3.755,8.709,EQUATORIAL GUINEA
SSH,27.98,34.39,EGYPT
SSN,37.446,127.114,KOREA
STD,7.565,-72.035,VENEZUELA
STI,19.409,-70.616,DOMINICAN REPUBLIC
STL,38.748,-90.36,USA
STM,-2.4248,-54.7862,BRAZIL
STN,51.885,0.235,UK
STP,44.9345,-93.06,USA
STR,48.69,9.222,GERMANY
STS,38.509,-122.813,USA
STT,18.337,-64.973,VIRGIN ISL.
STV,21.115,72.743,INDIA
STW,45.109,42.113,RUSSIA
STX,17.702,-64.798,VIRGIN ISL.
SUB,-7.38,112.787,INDONESIA
SUF,38.906,16.242,ITALY
SUN,43.5044,-114.296,USA
SUU,38.263,-121.927,USA
SUV,-18.043,178.559,FIJI
SUX,42.402,-96.384,USA
SVD,13.144,-61.211,ST.VINCENT/GRENADINES
SVG,58.877,5.638,NORWAY
SVL,61.943,28.945,FINLAND
SVN,32.01,-81.146,USA
SVO,55.972,37.415,RUSSIA
SVQ,37.418,-5.893,SPAIN
SVX,56.741,60.804,RUSSIA
SWA,23.4,116.683,CHINA
SWF,41.504,-74.105,USA
SWO,36.1612,-97.0857,USA
SWQ,-8.489,117.412,INDONESIA
SXB,48.538,7.628,FRANCE
SXF,52.38,13.523,GERMANY
SXM,18.041,-63.109,ANTILLES
SXR,33.987,74.774,INDIA
SXZ,37.98,41.84,TURKEY
SYA,52.712,174.114,USA
SYD,-33.946,151.177,AUSTRALIA
SYJ,29.5509,55.6727,IRAN
SYM,22.7933,100.959,CHINA
SYO,38.8122,139.787,JAPAN
SYR,43.111,-76.106,USA
SYX,18.3029,109.412,CHINA
SYY,58.214,-6.329,UK
SYZ,29.539,52.589,IRAN
SZA,-6.141,12.372,ANGOLA
SZB,3.1306,101.549,MALAYSIA
SZE,11.7905,40.9923,ETHIOPIA
SZF,41.26,36.56,TURKEY
SZG,47.793,13.004,AUSTRIA
SZL,38.73,-93.548,USA
SZX,22.639,113.812,CHINA
SZZ,53.585,14.902,POLAND
TAB,11.149,-60.832,TRINIDAD & TOBAGO
TAC,11.227,125.028,PHILIPPINES
TAE,35.894,128.659,KOREA
TAG,9.6654,123.8535,PHILIPPINES
TAK,34.214,134.016,JAPAN
TAO,36.263,120.375,CHINA
TAP,14.794,-92.37,MEXICO
TAR,40.516,17.402,ITALY
TAS,41.257,69.282,UZBEKISTAN
TAZ,41.7611,59.8267,TURKMENISTAN
TBB,13.0496,109.334,VIETNAM
TBN,37.741,-92.141,USA
TBP,-3.552,-80.381,PERU
TBS,41.669,44.955,GEORGIA
TBU,-21.241,-175.15,TONGA
TBZ,38.133,46.235,IRAN
TCG,46.6725,83.3408,CHINA
TCL,33.2206,-87.6114,USA
TCM,47.138,-122.476,USA
TCQ,-18.053,-70.276,PERU
TCR,8.7212,79.0222,INDIA
TCX,33.6678,56.8927,IRAN
TCZ,24.9381,98.4858,CHINA
TDW,35.1702,-101.8283,USA
TDZ,41.5659,-83.4828,USA
TEB,40.85,-74.061,USA
TEN,27.8833,109.3089,CHINA
TEQ,41.1382,27.9191,TURKEY
TER,38.764,-27.093,ACORES
TET,-16.105,33.64,MOZAMBIQUE
TEU,-45.533,167.65,NEW ZEALAND
TEV,40.403,-1.2183,SPAIN
TFN,28.482,-16.341,CANARY ISLANDS
TFS,28.044,-16.572,CANARY ISLANDS
TGD,42.359,19.252,YUGOSLAVIA
TGG,5.382,103.103,MALAYSIA
TGM,46.468,24.412,ROMANIA
TGO,43.5567,122.2,CHINA
TGU,14.061,-87.217,HONDURAS
TGZ,16.769,-93.341,MEXICO
THD,19.8919,105.4753,VIETNAM
THE,-5.06,-42.823,BRAZIL
THR,35.689,51.313,IRAN
THU,76.531,-68.703,GREENLAND
TIA,41.415,19.721,ALBANIA
TIF,21.483,40.544,SAUDI ARABIA
TIJ,32.541,-116.97,MEXICO
TIK,35.415,-97.386,USA
TIM,-4.528,136.887,INDONESIA
TIN,27.7,-8.167,ALGERIA
TIR,13.632,79.543,INDIA
TIU,-44.303,171.225,NEW ZEALAND
TIV,42.404,18.723,YUGOSLAVIA
TJM,57.1896,65.3243,RUSSIA
TJQ,-2.746,107.755,INDONESIA
TKG,-5.2406,105.1756,INDONESIA
TKK,7.462,151.843,MICRONESIA
TKS,34.133,134.606,JAPAN
TKU,60.514,22.263,FINLAND
TLC,19.337,-99.566,MEXICO
TLH,30.396,-84.35,USA
TLK,59.8764,111.0444,RUSSIA
TLL,59.413,24.833,ESTONIA
TLM,35.017,-1.45,ALGERIA
TLN,43.097,6.146,FRANCE
TLQ,43.0308,89.0987,CHINA
TLS,43.629,1.364,FRANCE
TLV,32.009,34.877,ISRAEL
TMC,-9.4097,119.244,INDONESIA
TMJ,37.2867,67.31,UZBEKISTAN
TMP,61.414,23.604,FINLAND
TMR,22.811,5.451,ALGERIA
TMS,0.378,6.712,SAO TOME & PRINCIPE
TMW,-31.084,150.847,AUSTRALIA
TNA,36.8572,117.216,CHINA
TNF,48.752,2.106,FRANCE
TNG,35.727,-5.917,MOROCCO
TNH,42.2539,125.7033,CHINA
TNI,24.5572,80.8633,MARIANA ISLANDS
TNJ,0.922,104.532,INDONESIA
TNN,22.95,120.206,TAIWAN
TNR,-18.797,47.479,MADAGASCAR
TOF,56.3803,85.2083,RUSSIA
TOJ,40.487,-3.458,SPAIN
TOL,41.5868,-83.8078,USA
TOS,69.683,18.919,NORWAY
TOY,36.648,137.187,JAPAN
TPA,27.975,-82.533,USA
TPE,25.08,121.232,TAIWAN
TPF,27.9156,-82.4493,USA
TPP,-6.509,-76.373,PERU
TPS,37.913,12.488,ITALY
TRB,8.0733,-76.7401,COLOMBIA
TRC,25.568,-103.411,MEXICO
TRD,63.458,10.94,NORWAY
TRF,59.187,10.259,NORWAY
TRG,-37.672,176.196,NEW ZEALAND
TRI,36.4752,-82.4074,USA
TRK,3.326,117.566,INDONESIA
TRN,45.201,7.649,ITALY
TRS,45.828,13.466,ITALY
TRU,-8.085,-79.109,PERU
TRV,8.482,76.918,INDIA
TRZ,10.765,78.709,INDIA
TSA,25.069,121.552,TAIWAN
TSE,51.022,71.467,RUSSIA
TSF,45.649,12.195,ITALY
TSJ,34.285,129.33,JAPAN
TSN,39.124,117.346,CHINA
TSR,45.81,21.338,ROMANIA
TSV,-19.253,146.765,AUSTRALIA
TSY,-7.3466,108.246,INDONESIA
TTD,45.5494,-122.401,USA
TTE,0.832,127.381,INDONESIA
TTJ,35.53,134.166,JAPAN
TTT,22.757,121.093,TAIWAN
TUC,-26.841,-65.105,ARGENTINA
TUI,31.692,38.731,SAUDI ARABIA
TUL,36.198,-95.888,USA
TUN,36.851,10.227,TUNISIA
TUO,-38.74,176.084,NEW ZEALAND
TUP,34.2681,-88.7699,USA
TUS,32.116,-110.941,USA
TUU,28.365,36.619,SAUDI ARABIA
TVC,44.7414,-85.5822,USA
TVS,39.7242,117.9996,CHINA
TWC,39.8649,79.0693,CHINA
TWF,42.4818,-114.488,USA
TWU,4.313,118.122,MALAYSIA
TXL,52.559,13.287,GERMANY
TXN,29.7333,118.256,CHINA
TYL,-4.576,-81.254,PERU
TYN,37.747,112.629,CHINA
TYS,35.812,-83.993,USA
TZA,17.5162,-88.1947,BELIZE
TZX,40.995,39.79,TURKEY
UAM,13.584,144.93,MARIANA ISLANDS
UAQ,-31.571,-68.418,ARGENTINA
UBJ,33.93,131.279,JAPAN
UBP,15.2513,104.87,THAILAND
UCB,41.1297,113.1081,CHINA
UDI,-18.883,-48.226,BRAZIL
UDR,24.617,73.913,INDIA
UEO,26.363,126.714,JAPAN
UFA,54.557,55.874,RUSSIA
UGC,41.5843,60.6417,UZBEKISTAN
UHE,49.0294,17.4397,CZECH REPUBLIC
UIH,13.955,109.042,VIETNAM
UIO,-0.141,-78.488,ECUADOR
UKB,34.6328,135.224,JAPAN
UKK,50.0366,82.4942,KAZAKHSTAN
ULH,26.48,38.1289,SAUDI ARABIA
ULN,47.843,106.766,MONGOLIA
ULV,54.2683,48.2267,RUSSIA
ULY,54.401,48.8027,RUSSIA
UME,63.792,20.282,SWEDEN
UNA,-15.3552,-38.999,BRAZIL
UPG,-5.062,119.554,INDONESIA
URA,51.152,51.546,RUSSIA
URC,43.907,87.474,CHINA
URS,51.7506,36.2956,RUSSIA
URT,9.1326,99.1356,THAILAND
URY,31.411,37.279,SAUDI ARABIA
USH,-54.843,-68.296,ARGENTINA
USM,9.5478,100.062,THAILAND
USN,35.593,129.352,KOREA
USQ,38.68,29.48,TURKEY
USU,12.1215,120.1,PHILIPPINES
UTP,12.68,101.005,THAILAND
UUD,51.807,107.438,RUSSIA
UUS,46.889,142.717,RUSSIA
UVF,13.733,-60.953,ST. LUCIA ISLAND
UYN,38.3597,109.5909,CHINA
VAA,63.051,21.761,FINLAND
VAD,30.968,-83.193,USA
VAN,38.468,43.332,TURKEY
VAR,43.232,27.825,BULGARIA
VAS,39.814,36.903,TURKEY
VBG,34.729,-120.577,USA
VBS,45.429,10.331,ITALY
VBY,57.663,18.346,SWEDEN
VCA,10.0851,105.712,VIETNAM
VCE,45.505,12.352,ITALY
VCL,15.4033,108.706,VIETNAM
VCO,-23.01,-47.14,BRAZIL
VCP,-23.008,-47.134,BRAZIL
VCS,8.7318,106.633,VIETNAM
VCV,34.593,-117.379,USA
VDF,28.0112,-82.3445,USA
VDH,17.515,106.5906,VIETNAM
VDO,21.1139,107.4194,VIETNAM
VER,19.145,-96.187,MEXICO
VFA,-18.096,25.839,ZIMBABWE
VGA,16.53,80.797,INDIA
VGO,42.232,-8.627,SPAIN
VIE,48.11,16.57,AUSTRIA
VII,18.7376,105.671,VIETNAM
VIL,23.7183,-15.932,WESTERN SAHARA
VIN,49.2425,28.6138,UKRAINE
VIT,42.883,-2.724,SPAIN
VIX,-20.256,-40.289,BRAZIL
VKG,9.958,105.1324,VIETNAM
VKO,55.591,37.261,RUSSIA
VLC,39.489,-0.481,SPAIN
VLI,-17.699,168.32,VANUATU
VLL,41.706,-4.852,SPAIN
VNO,54.6341,25.2858,LITHUANIA
VNS,25.452,82.859,INDIA
VNX,-22.018,35.313,MOZAMBIQUE
VOG,48.782,44.345,RUSSIA
VOK,43.939,-90.2534,USA
VOL,39.219,22.794,GREECE
VOZ,51.814,39.23,RUSSIA
VPS,30.483,-86.525,USA
VPY,-19.1513,33.429,MOZAMBIQUE
VQQ,30.2187,-81.8767,USA
VRA,23.034,-81.435,CUBA
VRN,45.396,10.888,ITALY
VSA,17.997,-92.817,MEXICO
VTE,17.988,102.563,LAOS
VTZ,17.7212,83.2245,INDIA
VUP,10.435,-73.249,COLOMBIA
VVC,4.168,-73.614,COLOMBIA
VVI,-17.645,-63.135,BOLIVIA
VVO,43.399,132.151,RUSSIA
VXC,-13.274,35.266,MOZAMBIQUE
VXO,56.929,14.728,SWEDEN
WAE,20.5043,45.1996,SAUDI ARABIA
WAW,52.166,20.967,POLAND
WDH,-22.4799,17.4709,NAMIBIA
WDS,32.5917,110.9078,CHINA
WEF,36.6467,119.119,CHINA
WEH,37.1871,122.229,CHINA
WGA,-35.165,147.466,AUSTRALIA
WGN,26.802,110.642,CHINA
WJU,37.4412,127.9639,SOUTH KOREA
WKJ,45.404,141.801,JAPAN
WLG,-41.327,174.805,NEW ZEALAND
WMI,52.4511,20.6518,POLAND
WMT,27.8164,106.3327,CHINA
WNH,23.5636,104.3336,CHINA
WNI,-5.2897,123.636,INDONESIA
WNZ,27.9122,120.852,CHINA
WOE,51.449,4.342,NETHERLANDS
WRB,32.64,-83.592,USA
WRE,-35.768,174.365,NEW ZEALAND
WRG,56.4843,-132.37,USA
WRI,40.016,-74.594,USA
WRO,51.102,16.886,POLAND
WSK,31.0652,109.7051,CHINA
WTB,-27.5583,151.7933,AUSTRALIA
WUA,39.7934,106.7993,CHINA
